sample,treatment,replicate,rack,height1,leaf1,chloro1,height2,leaf2,chloro2,height3,leaf3,chloro3,height4,leaf4,chloro4,nod_mass,total_nod,shoot_mass,root_mass
733co141-14-r38,733co141,14,38,2.3,6,33.2,4.8,12,38.3,6.1,30,42.1,7.4,67,49.4,0.0013212,13,205.07,72.77
733co141-15-r38,733co141,15,38,3,6,31.2,4.4,12,35.4,5.9,27,46,7.4,67,50.3,0.001468,21,211.07,96.92
733co141-16-r40,733co141,16,40,3.1,6,37.7,5.8,12,30.6,6.5,29,38.4,8.3,75,46.1,0.0010134,35,240.07,108.36
733co141-17-r40,733co141,17,40,2.9,6,32.7,5.8,12,39.1,6.1,32,29.2,9,67,45.1,0.0018834,35,251.03,117.83
733co141-18-r40,733co141,18,40,2.3,5,40.2,2.7,12,30.1,5.2,19,36,9,43,47.2,0.0012452,24,127.86,50.74
733co141-19-r40,733co141,19,40,3.1,3,27.4,4.2,9,33.3,5.4,13,33.4,7,43,44.5,0.0003056,24,121.03,55.64
733co141-20-r40,733co141,20,40,2.5,6,33.4,5.2,12,31.2,6.3,25,34.1,8.4,69,47.7,0.0015096,23,238.77,102.17
InCtrl-1-r15,InCtrl,1,15,1.3,6,36.1,3.3,12,38.3,3.8,15,27.7,3.9,21,23.8,NA,0,40.59,41.93
InCtrl-2-r15,InCtrl,2,15,2.3,6,36.5,3.9,12,30.9,4.1,16,27.5,4.1,19,26.4,0.000775,2,47.97,70.87
InCtrl-3-r15,InCtrl,3,15,2.9,3,36.6,2.4,9,31.2,2.7,12,24.9,3.9,18,27.8,NA,0,29.79,46.09
InCtrl-4-r15,InCtrl,4,15,2.3,3,32.1,3,9,33.7,3.7,15,21.7,3.6,24,19.3,NA,0,44.95,33.46
InCtrl-5-r15,InCtrl,5,15,2.3,6,36.9,4.4,12,38.9,4.2,15,23.1,4,24,21.7,NA,0,54.62,46.69
InCtrl-6-r23,InCtrl,6,23,1.4,3,30.5,3.3,9,33.3,4.3,15,32.4,4.2,27,26.9,NA,0,55.01,49.19
InCtrl-7-r23,InCtrl,7,23,2.7,6,33.7,3.4,12,36.5,4.1,15,27.4,3.8,26,24.5,NA,0,49.91,49.67
InCtrl-8-r23,InCtrl,8,23,2.7,6,33.4,4,12,31.6,4.4,15,26.1,4.6,23,26.1,NA,0,46.24,48.44
InCtrl-9-r23,InCtrl,9,23,2.7,6,37.3,3.4,9,35.6,4.4,15,30.6,4.7,24,25.9,NA,0,51.13,62.18
InCtrl-10-r23,InCtrl,10,23,2.6,6,32.3,3.8,12,35.1,4.2,18,29.1,4.5,30,26.1,NA,0,55.1,58.67
InCtrl-11-r34,InCtrl,11,34,1.6,3,29.3,2.8,6,34.2,3.2,11,27.8,3.8,17,25.9,NA,0,29.86,31.15
InCtrl-12-r34,InCtrl,12,34,2.9,5,49.9,3.9,11,33.2,4.3,17,28.1,4.4,27,23.5,NA,0,45.79,55.82
InCtrl-13-r34,InCtrl,13,34,2.1,6,27.2,3.2,12,29.2,4,15,28.1,4.4,21,24.8,NA,0,41.09,53.59
InCtrl-14-r34,InCtrl,14,34,2.3,6,31.3,3.3,12,33.6,4.4,12,26.4,4.7,21,24.9,NA,0,35.12,52.32
InCtrl-15-r34,InCtrl,15,34,1.5,6,27.2,3.6,12,31,3.8,15,28.6,4.3,24,24,NA,0,43.73,50.24
InCtrl-16-r6,InCtrl,16,6,1.3,3,36.1,3,6,37.7,3.3,13,33.8,3.9,18,25.9,NA,0,37.3,52.51
InCtrl-17-r6,InCtrl,17,6,2.4,6,32.1,3.3,12,37,3.9,15,27.3,4.5,19,22.2,NA,0,42,30.45
